Date,msft_price,msft_volume,amzn_price,amzn_volume,visa_price,visa_volume
2017-01-31,59.552139,25270500,41.174,62744000,79.47583,7479400
2017-02-28,59.292274,23239800,42.251999,55874000,84.662178,8521900
2017-03-31,61.034527,21040300,44.327,79152000,85.557533,6429800
2017-04-30,63.444027,39548800,46.2495,147294000,87.819946,6888500
2017-05-31,65.093895,30436400,49.730999,78262000,91.843155,9866000
2017-06-30,64.245743,24161100,48.400002,67806000,90.444725,9036600
2017-07-31,67.759529,23600100,49.389,147042000,96.01915,7576600
2017-08-31,70.060158,27652800,49.029999,66630000,99.999084,13766000
2017-09-30,69.797798,17079100,48.067501,50876000,101.660576,7676300
2017-10-31,77.940407,27086600,55.264,69540000,106.239372,8002500
2017-11-30,79.264137,33054600,58.837502,90184000,108.953293,18533300
2017-12-31,80.554276,18717400,58.473499,53768000,110.33712,5249000
2018-01-31,89.472343,48756300,72.544502,128494000,120.217331,7338200
2018-02-28,88.719414,31167300,75.622498,90300000,119.176125,6780900
2018-03-31,86.354065,45867500,72.366997,251622000,115.957771,12918100
2018-04-30,88.482872,41523600,78.306503,109282000,122.995499,8449200
2018-05-31,93.921654,34140900,81.481003,63326000,126.921532,11086000
2018-06-30,93.703117,28053200,84.989998,90870000,128.601288,7259000
2018-07-31,100.801407,27655200,88.872002,114774000,132.766647,7683300
2018-08-31,107.151176,23222700,100.635498,84088000,142.83609,5786600
2018-09-30,109.097107,21647800,100.150002,81702000,145.947754,6035900
2018-10-31,101.885658,51062400,79.900497,187804000,134.045563,13205300
2018-11-30,106.234528,33665600,84.508499,115236000,138.046432,11362800
2018-12-31,97.305809,33173800,75.098503,139090000,128.529022,7976000
2019-01-31,100.045715,55636400,85.936501,218206000,131.519669,20095700
2019-02-28,107.785027,29083900,81.991501,60518000,144.542572,6250200
2019-03-31,113.471077,25399800,89.037498,66416000,152.417664,12164400
2019-04-30,125.651375,24166500,96.325996,70120000,160.458664,6432700
2019-05-31,119.434052,26646800,88.753502,92376000,157.675644,5079000
2019-06-30,129.36113,30043000,94.681503,60748000,169.618881,8442700
2019-07-31,131.591843,38598800,93.338997,89414000,173.968063,7981200
2019-08-31,133.570572,23940100,88.814499,61174000,176.979187,4061200
2019-09-30,134.704178,17280900,86.795502,52894000,168.356277,16464000
2019-10-31,138.909134,24605100,88.833,55624000,175.060822,6830800
2019-11-30,147.168976,11977300,90.040001,38468000,180.893265,3139100
2019-12-31,153.313141,18369400,92.391998,50130000,184.216843,5273000
2020-01-31,165.494598,36142700,100.435997,311346000,195.069855,16699600
2020-02-29,157.933456,97012700,94.1875,189620000,178.455261,22659000
2020-03-31,153.741684,77927200,97.486,102472000,158.190536,20613100
2020-04-30,174.700699,53875900,123.699997,190692000,175.470566,11331600
2020-05-31,179.136566,42130400,122.1185,70198000,192.011169,10211900
2020-06-30,198.941772,34310300,137.940994,75394000,189.975403,9040100
2020-07-31,200.408096,51044000,158.233994,161710000,187.251205,14180800
2020-08-31,221.000443,28774200,172.548004,83718000,208.799347,9326900
2020-09-30,206.105682,33829100,157.436493,97922000,196.960251,9157600
2020-10-31,198.403564,36953700,151.807495,167728000,178.975067,10252900
2020-11-30,210.319794,33064800,158.401993,81278000,207.496201,7725500
2020-12-31,218.523514,20942100,162.846497,59144000,215.762466,5922200
2021-01-31,227.896378,42503100,160.309998,85872000,190.628159,21503000
2021-02-28,228.834869,37819200,154.6465,85518000,209.83374,11730000
2021-03-31,232.173126,43623500,154.703995,61878000,209.181702,13180000
2021-04-30,248.332779,30945100,173.371002,140186000,230.748947,10260200
2021-05-31,246.43866,18270200,161.153503,46596000,224.890503,5779700
2021-06-30,267.383148,21656500,172.007996,48080000,231.341385,7797100
2021-07-31,281.211304,20944800,166.379501,199312000,243.778107,5804700
2021-08-31,298.531464,26285300,173.539505,87128000,226.980438,9405100
2021-09-30,278.792877,32343600,164.251999,56848000,220.689178,7128500
2021-10-31,327.941559,34766000,168.621506,129722000,209.81076,14329800
2021-11-30,327.521057,42885600,175.3535,80022000,192.315247,16023000
2021-12-31,333.197876,18000800,166.716995,47830000,215.083008,4723300
2022-01-31,308.09314,46444500,149.573502,78308000,224.471985,12380600
2022-02-28,296.628357,34627500,153.563004,57684000,214.846405,8409400
2022-03-31,306.079468,33422100,162.997498,59966000,220.46312,10759500
2022-04-30,275.512207,37073900,124.281502,272662000,211.874039,7965000
2022-05-31,270.531769,37827700,120.209503,144634000,211.322525,9586400
2022-06-30,255.56575,31730900,106.209999,97679400,196.103561,7045200
2022-07-31,279.358093,32152800,134.949997,148892900,211.262772,6059700
2022-08-31,260.735199,24791800,126.769997,53648700,198.266846,6559000
2022-09-30,232.245483,35694800,113.0,59479600,177.253799,9472300
2022-10-31,231.477661,28357300,102.440002,99251400,206.697998,8674100
2022-11-30,255.139999,47594200,96.540001,102805800,217.0,13918100
2022-12-31,239.820007,21930800,84.0,62330000,207.759995,4159400
